grievance_id,complaint_text,top_department,state,district,sex,org_code
DOSEL/E/2023/0000113,"School Education and Literacy >> Others/Misc
-----------------------
To,                                      
        	The officer Concerned,
        	Publications Division (Sales Wing)
           NCERT, Government of India

Subject:- Complaint regarding receipt of damaged/defective books.

Sir,
           Please find enclosed herewith a copy of the grievance which is self-explanatory for your kind perusal and necessary action.   The reply of your grievance is enclosed herewith.",School Education,DH,South East Delhi,M,DOSEL
DSEHE/E/2023/0000476,"Higher Education >> Exam and Result Related >> Results not out

Name : Jay Mehul Shah
Application No. : X1X7X5X6X5
Roll No. : X1X7X5X6X5
Date of the exam : 05-09-2022
Course(s) Opted : PGDIBO
Institutes/Agencies : Indira Gandhi National Open University
-----------------------
Grade card for June 2022 exam which got over 4 months back , yet the grade card status is showing incomplete also the one subject IBO 03 project marks are still not updated also I have lodged complaint on IGNOU IGRAM portal but have received no reply , plese help me enrollment no is X1X7X5X6X5 course PGDIBO Dear Learner,

Your assignment marks have been received from your regional centre copy of the status is attached and the same will be updated soon. 

Regards,
Team SSC, IGNOU",Higher Education,GJ,Vadodara,M,DSEHE
DOSEL/E/2023/0000454,"School Education and Literacy >> National Mean-cum-Merit Scholarship Scheme (NMMSS)
-----------------------
Regarding NTSE EXAM.
Last two years  NTSE EXAM not conducted. Student lost their opportunities. So kindly  conduct the said exam.  The reply of your grievance is attached herewith.",School Education,AS,Lakhimpur,M,DOSEL
DSEHE/E/2023/0000285,"Higher Education >> Service Matter/Pension/Retirement Related >> Harrasment Related

Date of retirement : 29-04-2022
PPO No. : 67003
Details of Instutute/course : IIMT University, Ganga Nagar, Meerut
 Last Post held : Professor
Institutes/Agencies : State University
-----------------------
Sir, I had worked for more than 17 years in IIMT and resigned on 29 April 20022, but they are not issuing me my correct experience letter, I have sent them many emails in the last four months to issue me an experience letter with the correct designation. They are intentionally harassing me because of which my present employment is also hampering, requesting you instruct them to issue my experience letter immediately. 
I have registered my complaint with Abdul Kalam Technical University and   UGCportal but no solution received yet.
the reference no of UGC is -X-X-X-X-X	registered on 12/10/2022.


Kindly do the needful.",Higher Education,UP,Meerut,M,DSEHE
DSEHE/E/2023/0000334,"Higher Education >> Exam and Result Related >> Results not out

Name : THIRUMALAI Parthasarathy
Application No. : 317818
Roll No. : X2X1X0X2X5
Date of the exam : 11-05-2022
Course(s) Opted : LLB
Institutes/Agencies : State University
-----------------------
Sub:- Annamalai university -Mark statement not received-LLB - Enrl.No X2X1X0X2X5- Request
I have passed LLB ,i have not received the marks Statement Degree  and convocation till now.
Name   T.Parthasarathy
Course. LLB
Enrl. No. X2X1X0X2X5  With reference to the letter cited, Mr. Mani Ranjan, M.B.A. (International Business) degree programme, bearing Enrolment No. X7X1X0X1X7 and Registration No. 179M21001P00499 is informed that the Consolidated Mark Sheet had already been sent on 02-01-2023 through Registered Letter No. X-X-X-X-X. The Mark Sheet has already been sent on 13-12-2022 through Registered Letter No. X-X-X-X-X. Degree Certificate will be sent after the Convocation held.",Higher Education,TN,Madurai,M,DSEHE
DSEHE/E/2023/0000719,"Higher Education >> Miscelleneous/Others Grievances

Name : Regarding non payment of Manpower engagement fees for Conducting the NTA examinations
Details of course/batch no : XSXHX/X/X0X2X0X2X2
Institutes/Agencies : National Testing Agency
-----------------------
Sir

I have already filed a grievance having number XSXHX/X/X0X2X0X2X2 on the 16th November 2022, regarding non payment of the Manpower Charges to me for engagement as IT Manager in the NTA examinations in SUNDARGARH ENGINEERING SCHOOL in the year 2022. The Grievance was forwarded to the National Testing Agency and all of a sudden the grievance was closed on the 3rd of December 2022. I waited for about two months since then, but the money towards the remuneration of IT Manager is still not paid to me.
 
I am attaching herewith the copy of the above grievance for your kind reference and request you to kindly take urgent action towards payment of the hiring charges of IT manager for the above said examinations and obliged.  Your grievance has been sent to the concerned person for redressal.",Higher Education,OR,Sundargarh,M,DSEHE
DSEHE/E/2023/0000077,"Higher Education >> Fee Related >> Refund, Late submission

Name : CHANDAN KUMAR
Copy of Receipt/ Receipt No./ Date/ Roll No : X9X2X0X0X
Course details/department/batch no : BAG
Institutes/Agencies : Indira Gandhi National Open University
-----------------------
Sir/ Madam, I am Chandan Kumar, IGNOU learner of BAG programme having Enrollment number X9X2X0X0X , Regional center patna . I filled up examination form for TEE June 2022 for scheduled eight courses of third year of my programme of study, and along with these eight courses, I also filled up exam form of five more courses of whose result were awaiting at the time of form fill up, as these five additional subjects were of previous TEE December 2021 . Later on, i was declared passed in all these additional five courses of previous TEE December 2021 . As per university rules , the additional exam fees were supposed to be refunded for those subjects in which students do not actually appear in examination . Kindly refund the excess exam fees  as soon as possible. Thank you  Dear Learner,
Greetings,
Your matter has been examined by Student Evaluation Division and they have reported as follows:
It is to you that as per our notification regarding submission of examination form for Dec-2022 TEE and those students were result not declared. those students can be submitted their examination form without late fees.
Regards,
Team SSC, IGNOU",Higher Education,BH,East Champaran,M,DSEHE
DSEHE/E/2023/0000467,"Higher Education >> Miscelleneous/Others Grievances

Name : ARCHANA MAURYA
Details of course/batch no : B A 2007
Institutes/Agencies : State University
-----------------------
महोदय आपको सूचित करना है की प्रार्थिनी अर्चना मौर्य पुत्री बाबूराम निवासी जनपद सीतापुर की है प्रार्थिनी ने बी ए कला स्नातक वर्ष 2007 में सी एस जे एम्  विश्वविद्यालय कानपूर (हिन्दू कन्या महाविद्यालय जनपद सीतापुर) से पास की थी प्रार्थिनी का अनुक्रमांक 387761 है प्रार्थिनी ने इसी वर्ष एल एल बी प्रथम वर्ष में प्रवेश लखनऊ विश्वविद्यालय में लिया है प्रार्थिनी को माइग्रेशन सर्टिफिकेट की आवश्यकता है जो की ऑनलाइन प्राप्त नही हो पाया है इसलिए आपसे निवेदन है की प्रार्थिनी को माइग्रेशन सर्टिफिकेट प्रदान करने की कृपा करे 
नोट : बी ए डिग्री संलग्न है",Higher Education,UP,Sitapur,F,DSEHE
DSEHE/E/2023/0000338,"Higher Education >> Miscelleneous/Others Grievances

Name : Nitin Katake
Details of course/batch no : MSc
Institutes/Agencies : Central University of Kashmir
-----------------------
I am trying  to contact Shri. Vinit Joshi, Addl. Secretary (Central University), Ministry of Education regarding pending grievances.
However, all my attempts have failed.  Does not comes under the purview of Public Grievance.",Higher Education,JK,Srinagar,M,DSEHE
DSEHE/E/2023/0000627,"Higher Education >> Miscelleneous/Others Grievances

Name : MAYANK RAI
Details of course/batch no : BATCH - 2017 to 2021, Roll No. - 117MN0667
Institutes/Agencies : NIT Rourkela
-----------------------
During Covid 2020 Mess fees was collected from us at the promise of later refund. Approximately 30 days back other batchmates start getting refund during course of some days, so I decided to wait. But Its been more than a month I have not received any Mess Fees refund. I tried to call office of ASST. registrar but call was unanswered. 
Even other students refund contains disparity without clarifications.
Requested to look into the Issue ASAP.  As intimated by Chief Warden office, Rs. 13386/- has already been refunded on 30.01.2023.",Higher Education,MP,Gwalior,M,DSEHE
DOSEL/E/2023/0000148,"School Education and Literacy >> Service Matter/Pension Related >> Harrasment Related >> State Government Schools

Name of School : All CEOs of the Districts of the State
State/UT : Tamilnadu
-----------------------
No School Teacher is to be permitted to make Pursuing Higher Education for the Purposes of Higher Pay Scale Posts and only in the Exemptional Cases the concerned CEO is to sanction the higher Education of the In service Teacher of the department of School Education 

Because already the Teachers in the Department of school Education is not in other District Duty and so their children are not admitted in the CBSE Board and so whatever be happening they could not be undergoing other district duty 

Moreover they have been recruited by due Seniority Mode and by Promotional Mode and so their Pay Class would be changed if promoted to the Higher Pay scale and it is the affecting the Family Members Status in the Teachers Parental Home and so Issue the notification that No School Teacher would be permitted to undergo higher studies for the Higher Pay Scale Demand  and it is only to stop Pay Class Violations in the Social Set Up

Moreover the Teachers are ready to make their District Employment Exchanges as Professional Employment Exchanges and so I do issue the Show Cause Notice to this Department as the Teachers have been undergoing Illegal Residence in the name of pursuance of studies  The Petitioners Grievance of about  Notice to this Department as the Teachers have been undergoing illegal Residence in the name of pursuance of studies Regarding  comes under the priority of the government.  hence the petition is rejected and the same is being informed to the petitioner vide CEO Madurai RC.No.3287/B3/2022, Dated-25.01.2023",School Education,TN,Madurai,M,DOSEL
DSEHE/E/2023/0000250,"Higher Education >> Miscelleneous/Others Grievances

Name : Not Provided
Details of course/batch no : Free Admission & Free Accommodation
Institutes/Agencies : University of Hyderabad
-----------------------
I have registered a complaint against the University of Hyderabad in CPGRAMS portal.My grievance registration I&#39;d is XSXHX/X/X0X2X0X2X7.Today the assistant registrar of the university Tanmay Ranjan gave me a reply.&quot;We won&#39;t give him free library facility and accomodation,&quot; he replied to me.The Chief Warden of the University Of Hyderabad said that he should not be given free accommodation.The Registrar and Assistant Registrar and Chief Warden of the University Of Hyderabad of  all violated the provisions of the Constitution of India.They have mainly violated the fundamental rights(Articles 12 to 35) and directive principles of state policy(Articles 36 to 51) of the Constitution of India.According to these rights and directive priciples of state policy this university is responsible for providing me free accommodation and free library facility.It is the responsibility of the University of Hyderabad to provide free  accommodation and free library facility to a poor student like me as per fundamental rights and directive priciples of state policy( of the constitution.Suspend these three persons (Registrar,Assistant Registrar,Chief Warden) from their posts as this university has not done justice to me in violation of the provisions of the Constitution of India.  Please find the attachment",Higher Education,AP,Srikakulam,M,DSEHE
DOSKD/E/2023/0000033,"Skill Development and Entrepreneurship >> Scheme (Pradhan Mantri Kaushal Vikas Yojana) >> Pradhan Mantri Kaushal Vikas Yojana (PMKVY) >> Others

Reference Number : Not Provided
-----------------------
To
The Hon’ble Prime Minister,
The Hon’ble Prime Minister’s Office,
South Block, Raisina Hill
New Delhi, Pin -110011.

Ref:-	Pradhan Mantri Kaushal Vikas Yojana 2.0 (PMKVY 2.0).
Subject:-	Request for issuing appropriate direction to the Director, Indianeers Media Pvt. Ltd.(Madhya Pradesh), for making payment of outstanding fees, in my favour. or Maximum students no certificate Distributions. 
Sir,
 	With profound respect, with reference to the above-mentioned subject, it is most humbly stated as under:-
1.	That, in the year 2018, I was entrusted by the Indianeers Media Pvt. Ltd. to impart training to students, under PMKVY 2.0, the Work Order whereof was issued by the Directorate of Skill Development, Government of Tripura, in favour of the Indianeers Media Pvt. Ltd. 
2.	That, in furtherance thereof, I have duly discharged my obligations and rendered my services, thereby successfully imparting training to the concerned students, under the PMKVY 2.0.
3.	That, I was engaged for executing the said work, subject to the condition that the Indianeers Media Pvt. Ltd. would make payment of the infrastructure partner fees in my favour, within a period of 10 working days, from the date of receipt of the corresponding fees from the Directorate of Skill Development, Government of Tripura, at the rate of 70% thereof.
4.	That, it is pertinent to mention here that after the execution of said works by me, the Indianeers Media Pvt. Ltd. had duly raised the relevant Bills to the Directorate of Skill Development, Government of Tripura. Pursuant thereto, the Directorate of Skill Development, Government of Tripura had already released a lump sum amount of Rs. 1,39,53,871/- (excluding 10% TDS) till date, in favour of the Indianeers Media Pvt. Ltd.
5.	That, as agreed between me and the Indianeers Media Pvt. Ltd., in lieu of the works, executed by me, I am entitled to 70% of the said released amount of Rs. 1,39,53,871/-, i.e., Rs. 97,67,709/-. It is stated that even though, the Directorate  Letter has been issued to the concerned State Skill Development Mission for taking necessary action in this regards. As the administrative authority for State Skill Development is  State  concerned.
A copy of the same has been attached herewith for your information",Ministry of Skill Development and Entrepreneurship,TR,Unakoti,M,DOSKD
DSEHE/E/2023/0000685,"Higher Education >> Miscelleneous/Others Grievances

Name : IGNOU
Details of course/batch no : MBA
Institutes/Agencies : Indira Gandhi National Open University
-----------------------
Dear Sir/Ma&#39;am,
I am an MBA student in IGNOU (DELHI REGIONAL CENTER) . I am pursuing the 4th Semester (Enrollment No. X1X7X0X8X4 ) of the January 2023 Session. I have a complaint for the IGNOU study materials which I have not received  of some subjects from the last two semesters (2nd and 3rd), Due to which I have experienced backlogs in some subjects in the previous semesters. I have not any personal laptop so that I can study my course with the help of uploaded Pdfs of the related course. Last time when I did complained on this portal for which I received feedback also and I also have received my three books within 2-3 days of 3rd Semester.
Now the following course&#39;s materials are not received:
1. MMPC15(3rd Sem.)
2. MMPF2(3rd Sem.)
3. MMPF6(3rd Sem.)
4. 4th Semester all books are pending

And my other complaint is that the staff is not so cooperative and has not resolved any of my queries when I tried to contact them on the helpline number. They said only one thing that go to main center of IGNOU which is 250 km from my home.

All these matters cause mental disturbance and I am feeling tense about how I will prepare for the upcoming exams because I am working full day at my job and it is very difficult to manage between studies and work.

As per my experiences with IGNOU university from July 2021 to till now I suffered from various problems like delay in receiving study materials, lack of notifications &amp; updates which should be on time. As you know these things are crucial for every student, even after that these are not provided at stipulated time. Over and above IGNOU helpline numbers are unable to resolve my queries, after attending the call for a couple of hours .

So it&#39;s a humble request that kindly give me a valuable feedback and provide me a quick solution for this serious issue as it will impact on my career.
I hereby attached the PDF of current study material status for your consideration.

Thanks &amp; Regards
Muskan Aggarwal  Dear Learner,
Greetings,
Your matter has been examined by MATERIAL PRODUCTION AND XIXTXIXUXIXN DIVISION and they have reported as follows:
MMPC15 and MMPF2 courses have been dispatched. India post tracking number is X-X-X-X-X. Student is advised to wait for MMPF6 as this course will be available in one or two weeks time. Student is requested for Semester 4th study material also.
Regards,
Team SSC, IGNOU",Higher Education,DH,North West Delhi,F,DSEHE
DOSEL/E/2023/0000025,"School Education and Literacy >> Entrance Exam and Results Related >> Others >> NIOS

Name of School : National Institute of Open Schooling
-----------------------
To,      
Chairperson
NIOS                                                              
A-24/25,                                                            Institutional Area,                                            Sector - 62,                                                        NOIDA                      
Distt. Gautam Budh Nagar,Uttar Pradesh - 201309

Respected sir/madam,
                        I wrote many letters regarding my mathematics marks but till now no help received please understand my problem and present condition and help me actually sir/madam i paid my mathematics exam fees two times and i have written my nios exam in 2020-2021 oct but i didn&#39;t receive my mathematics book and because of that i was not able to study without the book and i didn&#39;t pass in my mathematics subject and because of that my status in mathematics subject is showing SYC and my result is showing IMPR and because of that i am not able to download or get my certificates please i am very much in financial problems i am searching for a job from many years i have to do my sister marriage and because of my 12th certificates i can get a job to clear my family problems but because of SYC AND IMPR i was unable to download or get my certificates please give me atleast passing marks in mathematics and make my result to PASS or atleast remove mathematics subject in my result please so that i can download my certificates and get a job which will help me and my family to clear all my problems please if u will not help me than i don&#39;t know what my life is going to be in future please understand my problem and help me and i have written grievance in nios portal also but no response till now that&#39;s why please help me.
            
Thank you sir/madam

Yours faithfully,
NAME-K VENKAT RAO
ENROLLMENT NUMBER-X1X1X1X8X0X1
REF NO-X-X-X-X-X
DATE OF BIRTH-21 OCTOBER 1995
COURSE-SENIOR SECONDARY
DATE-02/01/2023  The learner passed the exam in April 2020, which marksheet no. 143463, Migration no. 134683 and provisional no 134693 has been sent to regional centre, Vishakhapatanam.
After passing the exam the learner appeared in the subject code-311 in which he could not pass that is why the result is showing as IMPR. If the learner want to remove the marks of Mathematics then he may apply in the Result cell of the Evaluation Department.",School Education,AP,Vizianagaram,M,DOSEL
